switch_name,phase_code,from_bus,to_bus,geometry,r11,r22,r33,x11,x22,x33,ampacity_value,construction,controller_uuid,in_service
padswitch(r:p1udt6307-p1udt8815)p1u_233229,B,p1udt6307,p1udt6307-p1udt8815x,"LINESTRING(-97.7110368612281 30.4261862844304, -97.7110780137056 30.4262137380384)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt6307-p1udt8815)p1u_233230,B,p1udt6307-p1udt8815xx,p1udt8815,"LINESTRING(-97.7107580390778 30.4265609229117, -97.710803249831 30.4265356554735)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt13037-p1udt6307)p1u_233231,B,p1udt13037-p1udt6307x,p1udt13037-p1udt6307xx,"LINESTRING(-97.7112660698893 30.4257564984701, -97.7112959618024 30.4257203145743)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt13037-p1udt6307)p1u_233232,B,p1udt13037-p1udt6307xxx,p1udt6307,"LINESTRING(-97.7109886967828 30.4262031250251, -97.7110368612281 30.4261862844304)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt18354-p1udt18752)p1u_233233,A,p1udt18752,p1udt18354-p1udt18752xx,"LINESTRING(-97.7127383711381 30.4266451978542, -97.712745410766 30.4266005828325)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt18354-p1udt18752)p1u_233234,A,p1udt18354-p1udt18752x,p1udt18354,"LINESTRING(-97.7128312295814 30.4267414070181, -97.7128696805069 30.4267676038346)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt16004-p1udt18752)p1u_233235,A,p1udt16004,p1udt16004-p1udt18752x,"LINESTRING(-97.7124602498487 30.426416882129, -97.7124672895822 30.4263722671239)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt16004-p1udt18752)p1u_233236,A,p1udt16004-p1udt18752xx,p1udt18752,"LINESTRING(-97.7126902067325 30.4266620390776, -97.7127383711381 30.4266451978542)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt16004-p1udt4789)p1u_233237,A,p1udt4789,p1udt16004-p1udt4789xx,"LINESTRING(-97.7122329969865 30.4262792967402, -97.7122741498516 30.4263067499814)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt16004-p1udt4789)p1u_233238,A,p1udt16004-p1udt4789x,p1udt16004,"LINESTRING(-97.712412085513 30.4264337232521, -97.7124602498487 30.426416882129)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt14743-p1udt4789)p1u_233239,A,p1udt14743,p1udt14743-p1udt4789x,"LINESTRING(-97.7119848053282 30.4261505272565, -97.7120259580681 30.4261779805729)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt14743-p1udt4789)p1u_233240,A,p1udt14743-p1udt4789xx,p1udt4789,"LINESTRING(-97.7122400368108 30.4262346817492, -97.7122329969865 30.4262792967402)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt14512-p1udt14743)p1u_233241,A,p1udt14512,p1udt14512-p1udt14743x,"LINESTRING(-97.7119019958924 30.4261136184839, -97.7119090358519 30.4260690035137)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt14512-p1udt14743)p1u_233242,A,p1udt14512-p1udt14743xx,p1udt14743,"LINESTRING(-97.7119918452535 30.426105912281, -97.7119848053282 30.4261505272565)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt14512-p1udt19135)p1u_233243,A,p1udt19135,p1udt14512-p1udt19135xx,"LINESTRING(-97.7116432761015 30.4259937673741, -97.7116503161675 30.4259491524201)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt14512-p1udt19135)p1u_233244,A,p1udt14512-p1udt19135x,p1udt14512,"LINESTRING(-97.7118538316197 30.4261304594034, -97.7119019958924 30.4261136184839)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt13037-p1udt19135)p1u_233245,A,p1udt13037-p1udt19135x,p1udt13037-p1udt19135xx,"LINESTRING(-97.7111816998544 30.4258138316529, -97.7111324803886 30.4258266789027)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt13037-p1udt19135)p1u_233246,A,p1udt13037-p1udt19135xxx,p1udt19135,"LINESTRING(-97.7116844286775 30.4260212207942, -97.7116432761015 30.4259937673741)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt14742-p1udt1559)p1u_233247,C,p1udt1559,p1udt14742-p1udt1559xx,"LINESTRING(-97.7080898586415 30.4246413029528, -97.7080416945009 30.4246581424711)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt14742-p1udt1559)p1u_233248,C,p1udt14742-p1udt1559x,p1udt14742,"LINESTRING(-97.7080768243309 30.4248718108253, -97.7081152732176 30.4248980089922)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt1559-p1udt2694)p1u_233249,C,p1udt2694,p1udt1559-p1udt2694xx,"LINESTRING(-97.7086944621298 30.4245931863794, -97.7086453646254 30.4245741217542)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt1559-p1udt2694)p1u_233250,C,p1udt1559-p1udt2694x,p1udt1559,"LINESTRING(-97.7081310096259 30.424668757454, -97.7080898586415 30.4246413029528)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt13955-p1udt2694)p1u_233251,C,p1udt2694,p1udt13955-p1udt2694xx,"LINESTRING(-97.7086944621298 30.4245931863794, -97.7087436735463 30.4246118876341)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt13955-p1udt2694)p1u_233252,C,p1udt13955-p1udt2694x,p1udt13955,"LINESTRING(-97.7082644076818 30.4241917897457, -97.7082184761754 30.424177198317)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt2694-p1udt3300)p1u_233253,C,p1udt3300,p1udt2694-p1udt3300xx,"LINESTRING(-97.7090461786785 30.4247590390877, -97.7090873299905 30.4247864932959)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt2694-p1udt3300)p1u_233254,C,p1udt2694-p1udt3300x,p1udt2694,"LINESTRING(-97.7086723667758 30.4246356517164, -97.7086944621298 30.4245931863794)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt3300-p1udt9193)p1u_233255,C,p1udt9193,p1udt3300-p1udt9193xx,"LINESTRING(-97.7093979908044 30.4249249302086, -97.7093498267288 30.4249417702113)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt3300-p1udt9193)p1u_233256,C,p1udt3300-p1udt9193x,p1udt3300,"LINESTRING(-97.7090532198111 30.4247144242971, -97.7090461786785 30.4247590390877)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt13036-p1udt9193)p1u_233257,C,p1udt13036,p1udt13036-p1udt9193x,"LINESTRING(-97.7097602144778 30.4250909233117, -97.7098013661342 30.4251183773032)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt13036-p1udt9193)p1u_233258,C,p1udt13036-p1udt9193xx,p1udt9193,"LINESTRING(-97.7094050317924 30.4248803153958, -97.7093979908044 30.4249249302086)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt13036-p1udt17157)p1u_233259,C,p1udt17157,p1udt13036-p1udt17157xx,"LINESTRING(-97.7101120290558 30.4252568125686, -97.7100638649275 30.4252736528329)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt13036-p1udt17157)p1u_233260,C,p1udt13036-p1udt17157x,p1udt13036,"LINESTRING(-97.7097672553165 30.4250463084761, -97.7097602144778 30.4250909233117)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt17157-p1udt20024)p1u_233261,C,p1udt17157-p1udt20024xxx,p1udt17157-p1udt20024xx,"LINESTRING(-97.7106425758908 30.4254772796629, -97.7106487122126 30.4254346761535)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt17157-p1udt20024)p1u_233262,C,p1udt17157-p1udt20024x,p1udt17157,"LINESTRING(-97.7101531808828 30.4252842664533, -97.7101120290558 30.4252568125686)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt12374-p1udt21913)p1u_233269,A,p1udt21913,p1udt12374-p1udt21913xx,"LINESTRING(-97.7125238900158 30.4255423263742, -97.712474791243 30.4255232631572)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt12374-p1udt21913)p1u_233270,A,p1udt12374-p1udt21913x,p1udt12374,"LINESTRING(-97.7127251401774 30.4253057187075, -97.7127635905248 30.4253319155439)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt14504-p1udt8805)p1u_233271,A,p1udt14504,p1udt14504-p1udt8805x,"LINESTRING(-97.712803099303 30.4256803852122, -97.7128101388154 30.4256357701778)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt14504-p1udt8805)p1u_233272,A,p1udt14504-p1udt8805xx,p1udt8805,"LINESTRING(-97.7131147285516 30.4258908891547, -97.7130687954712 30.4258762993931)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt14504-p1udt21913)p1u_233273,A,p1udt21913,p1udt14504-p1udt21913xx,"LINESTRING(-97.7125238900158 30.4255423263742, -97.7125731026879 30.425561026217)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt14504-p1udt21913)p1u_233274,A,p1udt14504-p1udt21913x,p1udt14504,"LINESTRING(-97.7127549353881 30.4256972264759, -97.712803099303 30.4256803852122)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt21912-p1udt21913)p1u_233275,A,p1udt21912,p1udt21912-p1udt21913x,"LINESTRING(-97.7121926952947 30.425385459944, -97.7122414315198 30.4253698848675)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt21912-p1udt21913)p1u_233276,A,p1udt21912-p1udt21913xx,p1udt21913,"LINESTRING(-97.7125017960665 30.4255847923951, -97.7125238900158 30.4255423263742)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt21912-p1udt24269)p1u_233277,A,p1udt21912-p1udt24269xxx,p1udt21912-p1udt24269xx,"LINESTRING(-97.7117787787505 30.4251099846681, -97.7117399362827 30.4250823166926)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt21912-p1udt24269)p1u_233278,A,p1udt21912-p1udt24269x,p1udt21912,"LINESTRING(-97.7121841412285 30.4254298787449, -97.7121926952947 30.425385459944)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt11361-p1udt3785)p1u_233285,C,p1udt3785,p1udt11361-p1udt3785xx,"LINESTRING(-97.7134122219177 30.4260743755027, -97.7133640579027 30.4260912169876)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt11361-p1udt3785)p1u_233286,C,p1udt11361-p1udt3785x,p1udt11361,"LINESTRING(-97.7136969301087 30.4258282601294, -97.7137361222138 30.4258029023424)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt14223-p1udt3785)p1u_233287,C,p1udt14223,p1udt14223-p1udt3785x,"LINESTRING(-97.713554889985 30.4263103772434, -97.7135960432491 30.4263378300785)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt14223-p1udt3785)p1u_233288,C,p1udt14223-p1udt3785xx,p1udt3785,"LINESTRING(-97.7134533750435 30.4261018283798, -97.7134122219177 30.4260743755027)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt14223-p1udt298)p1u_233289,C,p1udt298,p1udt14223-p1udt298xx,"LINESTRING(-97.7138329125783 30.4265475410854, -97.7138243591299 30.4265919600046)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt14223-p1udt298)p1u_233290,C,p1udt14223-p1udt298x,p1udt14223,"LINESTRING(-97.713506725875 30.4263272187777, -97.713554889985 30.4263103772434)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt298-p1udt5810)p1u_233291,C,p1udt298-p1udt5810xxx,p1udt298-p1udt5810xx,"LINESTRING(-97.714443646315 30.4268551128602, -97.7144620341761 30.4268145540839)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt298-p1udt5810)p1u_233292,C,p1udt298-p1udt5810x,p1udt298,"LINESTRING(-97.7138816491511 30.4265319654082, -97.7138329125783 30.4265475410854)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt16005-p1udt4302)p1u_233293,A,p1udt4302,p1udt16005-p1udt4302xx,"LINESTRING(-97.7135001055145 30.4273113799325, -97.7134519408974 30.4273282214297)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt16005-p1udt4302)p1u_233294,A,p1udt16005-p1udt4302x,p1udt16005,"LINESTRING(-97.7131935004965 30.4270285519544, -97.7131475668766 30.4270139622075)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt1536-p1udt4302)p1u_233295,A,p1udt1536-p1udt4302x,p1udt1536-p1udt4302xx,"LINESTRING(-97.7142186609245 30.4272094899742, -97.7141748092792 30.4271881836843)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt1536-p1udt4302)p1u_233296,A,p1udt1536-p1udt4302xxx,p1udt4302,"LINESTRING(-97.7135412591722 30.4273388327924, -97.7135001055145 30.4273113799325)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt12041-p1udt4776)p1u_233297,C,p1udt12041,p1udt12041-p1udt4776x,"LINESTRING(-97.7125731007326 30.4275963053004, -97.7126218379987 30.4275807301108)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt12041-p1udt4776)p1u_233298,C,p1udt12041-p1udt4776xx,p1udt4776,"LINESTRING(-97.7124695285324 30.4274546249717, -97.7124231893051 30.4274682183211)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt12041-p1udt5306)p1u_233299,C,p1udt5306,p1udt12041-p1udt5306xx,"LINESTRING(-97.7131358588576 30.4280926105329, -97.7131845963089 30.4280770351449)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt12041-p1udt5306)p1u_233300,C,p1udt12041-p1udt5306x,p1udt12041,"LINESTRING(-97.7125328759308 30.4275678266997, -97.7125731007326 30.4275963053004)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt10695-p1udt5306)p1u_233301,C,p1udt10695-p1udt5306x,p1udt10695-p1udt5306xx,"LINESTRING(-97.7136407172033 30.4281958864307, -97.7136115840729 30.4282313962444)",0.001,,,0.001,,,301,OVERHEAD,,1
padswitch(r:p1udt10695-p1udt5306)p1u_233302,C,p1udt10695-p1udt5306xxx,p1udt5306,"LINESTRING(-97.7131273049333 30.4281370293832, -97.7131358588576 30.4280926105329)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt5802-p1udt9173)p1u_233303,C,p1udt5802,p1udt5802-p1udt9173x,"LINESTRING(-97.7182214948175 30.4325189342644, -97.7182285324842 30.4324743189267)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt5802-p1udt9173)p1u_233304,C,p1udt5802-p1udt9173xx,p1udt9173,"LINESTRING(-97.7180318465494 30.4327206399273, -97.7180703012089 30.4327468352949)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt15261-p1udt5802)p1u_233305,C,p1udt15261,p1udt15261-p1udt5802x,"LINESTRING(-97.7184127888286 30.4322230568615, -97.7184539459319 30.4322505082504)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt15261-p1udt5802)p1u_233306,C,p1udt15261-p1udt5802xx,p1udt5802,"LINESTRING(-97.718262651986 30.4325463857144, -97.7182214948175 30.4325189342644)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt15261-p1udt2090)p1u_233307,C,p1udt2090,p1udt15261-p1udt2090xx,"LINESTRING(-97.7186120055612 30.4319310702448, -97.7186579423449 30.4319456581469)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt15261-p1udt2090)p1u_233308,C,p1udt15261-p1udt2090x,p1udt15261,"LINESTRING(-97.7184198263822 30.4321784415084, -97.7184127888286 30.4322230568615)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt4290-p1udt6288)p1u_233309,C,p1udt6288,p1udt4290-p1udt6288xx,"LINESTRING(-97.7175625958533 30.4311500026054, -97.717603752269 30.4311774542472)",0.001,,,0.001,,,165,OVERHEAD,,1
padswitch(r:p1udt4290-p1udt6288)p1u_233310,C,p1udt4290-p1udt6288x,p1udt4290,"LINESTRING(-97.7181545245675 30.4314264090887, -97.718108588106 30.4314118210174)",0.001,,,0.001,,,115,OVERHEAD,,1
padswitch(r:p1udt16706-p1udt6288)p1u_233311,C,p1udt16706,p1udt16706-p1udt6288x,"LINESTRING(-97.7172003534561 30.4309838589285, -97.7171918010616 30.4310282780716)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt16706-p1udt6288)p1u_233312,C,p1udt16706-p1udt6288xx,p1udt6288,"LINESTRING(-97.7175144299653 30.4311668455584, -97.7175625958533 30.4311500026054)",0.001,,,0.001,,,165,OVERHEAD,,1
padswitch(r:p1udt13018-p1udt16706)p1u_233313,C,p1udt13018,p1udt13018-p1udt16706x,"LINESTRING(-97.7167449695679 30.4307720270594, -97.716696803739 30.4307888697128)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt13018-p1udt16706)p1u_233314,C,p1udt13018-p1udt16706xx,p1udt16706,"LINESTRING(-97.7172490917748 30.4309682820519, -97.7172003534561 30.4309838589285)",0.001,,,0.001,,,165,OVERHEAD,,1
padswitch(r:p1udt13018-p1udt4289)p1u_233315,C,p1udt4289,p1udt13018-p1udt4289xx,"LINESTRING(-97.7162896223403 30.4305598509306, -97.7163383605774 30.4305442743912)",0.001,,,0.001,,,165,OVERHEAD,,1
padswitch(r:p1udt13018-p1udt4289)p1u_233316,C,p1udt13018-p1udt4289x,p1udt13018,"LINESTRING(-97.7167520077481 30.4307274118053, -97.7167449695679 30.4307720270594)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt3768-p1udt4289)p1u_233317,C,p1udt3768,p1udt3768-p1udt4289x,"LINESTRING(-97.7157411526398 30.4303018139914, -97.7157898908264 30.4302862376551)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt3768-p1udt4289)p1u_233318,C,p1udt3768-p1udt4289xx,p1udt4289,"LINESTRING(-97.716249395248 30.4305313734283, -97.7162896223403 30.4305598509306)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt3261-p1udt3768)p1u_233319,C,p1udt3261-p1udt3768x,p1udt3261-p1udt3768xx,"LINESTRING(-97.7154295049348 30.430153856884, -97.7153856517176 30.4301325509651)",0.001,,,0.001,,,205,OVERHEAD,,1
padswitch(r:p1udt3261-p1udt3768)p1u_233320,C,p1udt3261-p1udt3768xxx,p1udt3768,"LINESTRING(-97.7157325996589 30.4303462330262, -97.7157411526398 30.4303018139914)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt10678-p1udt15998)p1u_233321,A,p1udt15998,p1udt10678-p1udt15998xx,"LINESTRING(-97.7177434316961 30.4332450937243, -97.7177504696442 30.433200478425)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt10678-p1udt15998)p1u_233322,A,p1udt10678-p1udt15998x,p1udt10678,"LINESTRING(-97.71755327154 30.433481540938, -97.7175924658278 30.4334561820809)",0.001,,,0.001,,,165,OVERHEAD,,1
padswitch(r:p1udt14731-p1udt15998)p1u_233323,A,p1udt14731,p1udt14731-p1udt15998x,"LINESTRING(-97.7177860209185 30.4331733289023, -97.7177378540578 30.4331901719053)",0.001,,,0.001,,,151,OVERHEAD,,1
padswitch(r:p1udt14731-p1udt15998)p1u_233324,A,p1udt14731-p1udt15998xx,p1udt15998,"LINESTRING(-97.717695264793 30.4332619367102, -97.7177434316961 30.4332450937243)",0.001,,,0.001,,,165,OVERHEAD,,1
