transformer_name,phase_code,primary_bus,secondary_bus,tertiary_bus,geometry,primary_kva,primary_voltage_kv,secondary_voltage_kv,tertiary_voltage_kv,primary_connection,secondary_connection,tertiary_connection,primary_grounded,secondary_grounded,tertiary_grounded,resistance_pct,reactance_pct,equipment_no_load_loss,equipment_full_load_loss,is_center_tapped,in_service
tr(r:p1udt307-p1udt307lv),C,p1udt307,p1udt307lv,p1udt307lv,POINT(-97.7228206779081 30.4175767717523),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt308-p1udt308lv),ABC,p1udt308,p1udt308lv,p1udt308lv,POINT(-97.7144236910649 30.4180178557205),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt309-p1udt309lv),ABC,p1udt309,p1udt309lv,p1udt309lv,POINT(-97.7151205606041 30.4180696592332),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt310-p1udt310lv),A,p1udt310,p1udt310lv,p1udt310lv,POINT(-97.7144775148199 30.4186770588463),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt311-p1udt311lv),ABC,p1udt311,p1udt311lv,p1udt311lv,POINT(-97.7143839467803 30.4194611313372),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt889-p1udt889lv),C,p1udt889,p1udt889lv,p1udt889lv,POINT(-97.7141766590201 30.4305031318767),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt890-p1udt890lv),A,p1udt890,p1udt890lv,p1udt890lv,POINT(-97.7159360240171 30.4321173352087),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt891-p1udt891lv),A,p1udt891,p1udt891lv,p1udt891lv,POINT(-97.7173641200371 30.432790221262),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt892-p1udt892lv),A,p1udt892,p1udt892lv,p1udt892lv,POINT(-97.7152712426723 30.435690139756),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt901-p1udt901lv),ABC,p1udt901,p1udt901lv,p1udt901lv,POINT(-97.7261807662317 30.4209843503887),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt911-p1udt911lv),ABC,p1udt911,p1udt911lv,,POINT(-97.7147434766841 30.4248721533737),150,7.19976905311778,0.277136258660508,,STAR,STAR,,0,0,,1.0784,,0.516667,2.1568,0,1
tr(r:p1udt912-p1udt912lv),C,p1udt912,p1udt912lv,p1udt912lv,POINT(-97.7171512111525 30.4291697712887),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt917-p1udt917lv),B,p1udt917,p1udt917lv,p1udt917lv,POINT(-97.7263187688755 30.4159780037929),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt918-p1udt918lv),A,p1udt918,p1udt918lv,p1udt918lv,POINT(-97.7239386726306 30.4156659899243),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt919-p1udt919lv),A,p1udt919,p1udt919lv,p1udt919lv,POINT(-97.7253835313231 30.4174395773493),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt921-p1udt921lv),A,p1udt921,p1udt921lv,p1udt921lv,POINT(-97.7274856288509 30.4189268451625),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt922-p1udt922lv),C,p1udt922,p1udt922lv,p1udt922lv,POINT(-97.7248019386858 30.4189317054478),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt923-p1udt923lv),B,p1udt923,p1udt923lv,p1udt923lv,POINT(-97.7276408808351 30.4199878489888),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt924-p1udt924lv),B,p1udt924,p1udt924lv,p1udt924lv,POINT(-97.7258625363478 30.4198353318607),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt926-p1udt926lv),B,p1udt926,p1udt926lv,p1udt926lv,POINT(-97.716679229902 30.4167046544246),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt927-p1udt927lv),ABC,p1udt927,p1udt927lv,p1udt927lv,POINT(-97.7148448180285 30.4200431359034),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1523-p1udt1523lv),C,p1udt1523,p1udt1523lv,p1udt1523lv,POINT(-97.7182583065139 30.4297041481206),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt1530-p1udt1530lv),C,p1udt1530,p1udt1530lv,p1udt1530lv,POINT(-97.7283675494886 30.423360657159),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1533-p1udt1533lv),A,p1udt1533,p1udt1533lv,p1udt1533lv,POINT(-97.7293312634781 30.4253189960305),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt1534-p1udt1534lv),C,p1udt1534,p1udt1534lv,p1udt1534lv,POINT(-97.7279810427392 30.4274713490744),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt1536-p1udt1536lv),ABC,p1udt1536,p1udt1536lv,p1udt1536lv,POINT(-97.7142634701407 30.4272350852922),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt1537-p1udt1537lv),B,p1udt1537,p1udt1537lv,p1udt1537lv,POINT(-97.7175252274042 30.4284428009299),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1541-p1udt1541lv),B,p1udt1541,p1udt1541lv,p1udt1541lv,POINT(-97.7279931594365 30.4151150857714),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1542-p1udt1542lv),B,p1udt1542,p1udt1542lv,p1udt1542lv,POINT(-97.7279616153324 30.4153262843059),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt1543-p1udt1543lv),B,p1udt1543,p1udt1543lv,p1udt1543lv,POINT(-97.7275399641418 30.4165312500917),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1546-p1udt1546lv),A,p1udt1546,p1udt1546lv,p1udt1546lv,POINT(-97.7279980879325 30.4181327755102),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt1548-p1udt1548lv),B,p1udt1548,p1udt1548lv,p1udt1548lv,POINT(-97.7278382997726 30.4200170133191),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt1549-p1udt1549lv),B,p1udt1549,p1udt1549lv,p1udt1549lv,POINT(-97.7220898164383 30.412756587915),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt1554-p1udt1554lv),ABC,p1udt1554,p1udt1554lv,p1udt1554lv,POINT(-97.7195131991096 30.4165339765142),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1555-p1udt1555lv),B,p1udt1555,p1udt1555lv,p1udt1555lv,POINT(-97.7171153654561 30.4167901471513),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1556-p1udt1556lv),A,p1udt1556,p1udt1556lv,p1udt1556lv,POINT(-97.7194651243026 30.4178237839158),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1557-p1udt1557lv),B,p1udt1557,p1udt1557lv,p1udt1557lv,POINT(-97.7213265379098 30.4179954568481),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1558-p1udt1558lv),ABC,p1udt1558,p1udt1558lv,p1udt1558lv,POINT(-97.7138141495845 30.4192478201663),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1559-p1udt1559lv),C,p1udt1559,p1udt1559lv,p1udt1559lv,POINT(-97.7080898586415 30.4246413029528),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1560-p1udt1560lv),C,p1udt1560,p1udt1560lv,p1udt1560lv,POINT(-97.7093546032578 30.4264544162995),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt1561-p1udt1561lv),B,p1udt1561,p1udt1561lv,p1udt1561lv,POINT(-97.7110309009398 30.4274313860924),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt1562-p1udt1562lv),C,p1udt1562,p1udt1562lv,p1udt1562lv,POINT(-97.7093108549974 30.4283798391728),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt1563-p1udt1563lv),A,p1udt1563,p1udt1563lv,p1udt1563lv,POINT(-97.7075247534266 30.4294126340689),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2090-p1udt2090lv),C,p1udt2090,p1udt2090lv,p1udt2090lv,POINT(-97.7186120055612 30.4319310702448),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2091-p1udt2091lv),B,p1udt2091,p1udt2091lv,p1udt2091lv,POINT(-97.7151694912589 30.4326062226377),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt2092-p1udt2092lv),A,p1udt2092,p1udt2092lv,p1udt2092lv,POINT(-97.7109000416416 30.4307746730003),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2103-p1udt2103lv),A,p1udt2103,p1udt2103lv,p1udt2103lv,POINT(-97.7298598650019 30.4263076406523),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt2104-p1udt2104lv),A,p1udt2104,p1udt2104lv,p1udt2104lv,POINT(-97.7298239256975 30.4264825400345),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt2106-p1udt2106lv),B,p1udt2106,p1udt2106lv,p1udt2106lv,POINT(-97.713572918222 30.4236244839129),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt2108-p1udt2108lv),B,p1udt2108,p1udt2108lv,p1udt2108lv,POINT(-97.7174952705486 30.4275492383),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2109-p1udt2109lv),ABC,p1udt2109,p1udt2109lv,p1udt2109lv,POINT(-97.7244844320469 30.4110486597257),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt2110-p1udt2110lv),A,p1udt2110,p1udt2110lv,p1udt2110lv,POINT(-97.7298601164357 30.4115431884495),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt2111-p1udt2111lv),C,p1udt2111,p1udt2111lv,p1udt2111lv,POINT(-97.7239277687254 30.4131162043925),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt2112-p1udt2112lv),C,p1udt2112,p1udt2112lv,p1udt2112lv,POINT(-97.7253680862222 30.414624097348),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2114-p1udt2114lv),C,p1udt2114,p1udt2114lv,p1udt2114lv,POINT(-97.7251920824632 30.4169504693194),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt2116-p1udt2116lv),C,p1udt2116,p1udt2116lv,p1udt2116lv,POINT(-97.7219530400591 30.4136653344586),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2118-p1udt2118lv),ABC,p1udt2118,p1udt2118lv,p1udt2118lv,POINT(-97.7228619002173 30.414410295663),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2119-p1udt2119lv),B,p1udt2119,p1udt2119lv,p1udt2119lv,POINT(-97.7229561960201 30.4159631634032),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2120-p1udt2120lv),ABC,p1udt2120,p1udt2120lv,p1udt2120lv,POINT(-97.7197148656945 30.416238197588),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2121-p1udt2121lv),ABC,p1udt2121,p1udt2121lv,p1udt2121lv,POINT(-97.7213093314998 30.416912498034),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2122-p1udt2122lv),C,p1udt2122,p1udt2122lv,p1udt2122lv,POINT(-97.7149791726882 30.4167549059301),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2123-p1udt2123lv),B,p1udt2123,p1udt2123lv,p1udt2123lv,POINT(-97.7208944345561 30.4175940050258),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2124-p1udt2124lv),C,p1udt2124,p1udt2124lv,p1udt2124lv,POINT(-97.7162948049644 30.41744075483),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2125-p1udt2125lv),C,p1udt2125,p1udt2125lv,p1udt2125lv,POINT(-97.7222654190135 30.4186450240397),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt2674-p1udt2674lv),C,p1udt2674,p1udt2674lv,p1udt2674lv,POINT(-97.7193855795487 30.4305661229412),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt2675-p1udt2675lv),B,p1udt2675,p1udt2675lv,p1udt2675lv,POINT(-97.7150933162913 30.4320639270631),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt2676-p1udt2676lv),A,p1udt2676,p1udt2676lv,p1udt2676lv,POINT(-97.7142207599171 30.434010558371),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt2681-p1udt2681lv),C,p1udt2681,p1udt2681lv,p1udt2681lv,POINT(-97.7284219368643 30.4239837695776),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2682-p1udt2682lv),C,p1udt2682,p1udt2682lv,p1udt2682lv,POINT(-97.72914021639 30.4278215336841),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2687-p1udt2687lv),B,p1udt2687,p1udt2687lv,p1udt2687lv,POINT(-97.7168744359725 30.4272453422683),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt2689-p1udt2689lv),B,p1udt2689,p1udt2689lv,p1udt2689lv,POINT(-97.7280896827025 30.4158869546969),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2691-p1udt2691lv),ABC,p1udt2691,p1udt2691lv,p1udt2691lv,POINT(-97.7219748262342 30.415376092496),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt2694-p1udt2694lv),C,p1udt2694,p1udt2694lv,p1udt2694lv,POINT(-97.7086944621298 30.4245931863794),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt2696-p1udt2696lv),B,p1udt2696,p1udt2696lv,p1udt2696lv,POINT(-97.7119048900816 30.4280856848286),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt2697-p1udt2697lv),A,p1udt2697,p1udt2697lv,p1udt2697lv,POINT(-97.7082799632969 30.4282032509577),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt3260-p1udt3260lv),A,p1udt3260,p1udt3260lv,p1udt3260lv,POINT(-97.7171913222115 30.4300816508849),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt3261-p1udt3261lv),ABC,p1udt3261,p1udt3261lv,p1udt3261lv,POINT(-97.7154743158001 30.4301794518226),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3266-p1udt3266lv),C,p1udt3266,p1udt3266lv,p1udt3266lv,POINT(-97.7251602447098 30.4200127476375),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt3267-p1udt3267lv),ABC,p1udt3267,p1udt3267lv,p1udt3267lv,POINT(-97.7264041572843 30.4206256509286),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3268-p1udt3268lv),ABC,p1udt3268,p1udt3268lv,p1udt3268lv,POINT(-97.7273347377639 30.4219159451324),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt3269-p1udt3269lv),A,p1udt3269,p1udt3269lv,p1udt3269lv,POINT(-97.7291942841155 30.4230348594442),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3270-p1udt3270lv),A,p1udt3270,p1udt3270lv,p1udt3270lv,POINT(-97.7293509118039 30.4246063753227),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt3272-p1udt3272lv),C,p1udt3272,p1udt3272lv,p1udt3272lv,POINT(-97.7287688598895 30.4277406891762),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3277-p1udt3277lv),B,p1udt3277,p1udt3277lv,p1udt3277lv,POINT(-97.7166055324502 30.4271073549164),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt3278-p1udt3278lv),B,p1udt3278,p1udt3278lv,p1udt3278lv,POINT(-97.7171434583352 30.4273743073332),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3279-p1udt3279lv),ABC,p1udt3279,p1udt3279lv,,POINT(-97.7290042468989 30.4125183617512),75,7.19976905311778,0.277136258660508,,STAR,STAR,,0,0,,0.87204,,0.6,1.74408,0,1
tr(r:p1udt3280-p1udt3280lv),ABC,p1udt3280,p1udt3280lv,p1udt3280lv,POINT(-97.7236236545519 30.4125168873925),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt3281-p1udt3281lv),C,p1udt3281,p1udt3281lv,p1udt3281lv,POINT(-97.7254671708234 30.4134071387349),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt3284-p1udt3284lv),A,p1udt3284,p1udt3284lv,p1udt3284lv,POINT(-97.7243881653746 30.4147320350463),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3285-p1udt3285lv),A,p1udt3285,p1udt3285lv,p1udt3285lv,POINT(-97.7243418572619 30.4150834388923),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt3286-p1udt3286lv),B,p1udt3286,p1udt3286lv,p1udt3286lv,POINT(-97.7271270097873 30.4154623455997),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt3288-p1udt3288lv),A,p1udt3288,p1udt3288lv,p1udt3288lv,POINT(-97.7272442486565 30.4176652967812),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3292-p1udt3292lv),B,p1udt3292,p1udt3292lv,p1udt3292lv,POINT(-97.7285343570756 30.4201320697766),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3295-p1udt3295lv),ABC,p1udt3295,p1udt3295lv,p1udt3295lv,POINT(-97.7184476270049 30.4160182369642),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3297-p1udt3297lv),C,p1udt3297,p1udt3297lv,p1udt3297lv,POINT(-97.7230016889612 30.4180659524516),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt3298-p1udt3298lv),B,p1udt3298,p1udt3298lv,p1udt3298lv,POINT(-97.7161156366256 30.4198068118244),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3300-p1udt3300lv),C,p1udt3300,p1udt3300lv,p1udt3300lv,POINT(-97.7090461786785 30.4247590390877),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt3303-p1udt3303lv),B,p1udt3303,p1udt3303lv,p1udt3303lv,POINT(-97.7114544143355 30.4276882089084),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3767-p1udt3767lv),A,p1udt3767,p1udt3767lv,p1udt3767lv,POINT(-97.7182856650949 30.4306105211494),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
tr(r:p1udt3768-p1udt3768lv),C,p1udt3768,p1udt3768lv,p1udt3768lv,POINT(-97.7157411526398 30.4303018139914),50,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.37,0.798816,1,1
tr(r:p1udt3769-p1udt3769lv),A,p1udt3769,p1udt3769lv,p1udt3769lv,POINT(-97.715742740075 30.4352222390092),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt3770-p1udt3770lv),A,p1udt3770,p1udt3770lv,p1udt3770lv,POINT(-97.714879191419 30.4361104100814),25,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.532544,,0.472,0.798816,1,1
tr(r:p1udt3773-p1udt3773lv),A,p1udt3773,p1udt3773lv,p1udt3773lv,POINT(-97.7101883293119 30.4305359626854),75,7.2,0.12,0.12,STAR,STAR,STAR,0,0,0,0.33284,,0.38,0.49926,1,1
