fuse_name,phase_code,from_bus,to_bus,geometry,r11,r22,r33,x11,x22,x33,ampacity_value,construction,delay_value,delay_units,tcc_curve_name,in_service
fuse(r:p1udt5816-p1udt919)p1u_266550,A,p1udt5816,p1udt5816-p1udt919x,"LINESTRING(-97.7248559926242 30.4171552540011, -97.7249056421336 30.4171729968387)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt2114-p1udt5816)p1u_266551,C,p1udt5816,p1udt2114-p1udt5816xxx,"LINESTRING(-97.7248559926242 30.4171552540011, -97.7248063491481 30.417137541936)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt17978-p1udt6738)p1u_266632,B,p1udt6738,p1udt17978-p1udt6738xxx,"LINESTRING(-97.723156360998 30.4127593674918, -97.7231115558163 30.4127337752942)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt5800-p1udt7607)p1u_266718,C,p1udt7607,p1udt5800-p1udt7607xxx,"LINESTRING(-97.7127089340679 30.4297304558468, -97.7126568898796 30.4297478392394)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt15260-p1udt7607)p1u_266719,B,p1udt7607,p1udt15260-p1udt7607xxx,"LINESTRING(-97.7127089340679 30.4297304558468, -97.7127636163655 30.4297397156493)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt3298-p1udt8410)p1u_266789,B,p1udt8410,p1udt3298-p1udt8410xxx,"LINESTRING(-97.7159654663123 30.4201744444132, -97.7159435659475 30.4202152791795)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt17579-p1udt8423)p1u_266791,B,p1udt8423,p1udt17579-p1udt8423xxx,"LINESTRING(-97.7227818574784 30.4150667694045, -97.7227381328631 30.4150398152514)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt14497-p1udt8800)p1u_266840,C,p1udt8800,p1udt14497-p1udt8800x,"LINESTRING(-97.7273693765785 30.4208480190286, -97.7273400431136 30.4208889328823)",0.001,,,0.001,,,370,OVERHEAD,0,second,,1
fuse(r:p1udt13035-p1udt8813)p1u_266841,A,p1udt8813,p1udt13035-p1udt8813xxx,"LINESTRING(-97.7161906543217 30.4185431052205, -97.7162155513963 30.4185021121857)",0.001,,,0.001,,,445,OVERHEAD,0,second,,1
fuse(r:p1udt2119-p1udt9190)p1u_266874,B,p1udt9190,p1udt2119-p1udt9190xxx,"LINESTRING(-97.7226181479138 30.416445677122, -97.7225744227451 30.4164187229034)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt890-p1udt9930)p1u_266958,A,p1udt9930,p1udt890-p1udt9930xxx,"LINESTRING(-97.7159511224547 30.4314649399252, -97.7159170866332 30.4315019784826)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt17144-p1udt9930)p1u_266959,B,p1udt9930,p1udt17144-p1udt9930xxx,"LINESTRING(-97.7159511224547 30.4314649399252, -97.7160014557657 30.4314834309264)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt10312-p1udt307)p1u_266989,C,p1udt10312,p1udt10312-p1udt307x,"LINESTRING(-97.7233459734042 30.417283394444, -97.7233037736916 30.4172546689284)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt10695-p1udt5306)p1u_267026,C,p1udt10695,p1udt10695-p1udt5306x,"LINESTRING(-97.7136748205709 30.4281599657843, -97.7136407172033 30.4281958864307)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt11025-p1udt18164)p1u_267054,B,p1udt11025,p1udt11025-p1udt18164x,"LINESTRING(-97.7155474166286 30.428423610443, -97.7155849756711 30.4283903795018)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt11026-p1udt4305)p1u_267055,C,p1udt11026,p1udt11026-p1udt4305x,"LINESTRING(-97.7160627091906 30.4286694942083, -97.7160677321501 30.4286223324215)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt11026-p1udt21500)p1u_267056,A,p1udt11026,p1udt11026-p1udt21500x,"LINESTRING(-97.7160627091906 30.4286694942083, -97.7161138157184 30.4286863036645)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt11360-p1udt12696)p1u_267087,C,p1udt11360,p1udt11360-p1udt12696x,"LINESTRING(-97.7131672482452 30.4239283217804, -97.7132131804397 30.4239429114857)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt12043-p1udt12698)p1u_267236,B,p1udt12698,p1udt12043-p1udt12698xxx,"LINESTRING(-97.7138227154654 30.4293794648171, -97.7138762377342 30.4293828396225)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt13037-p1udt6307)p1u_267280,B,p1udt13037,p1udt13037-p1udt6307x,"LINESTRING(-97.7112334436657 30.4257957316713, -97.7112660698893 30.4257564984701)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt13037-p1udt19135)p1u_267281,A,p1udt13037,p1udt13037-p1udt19135x,"LINESTRING(-97.7112334436657 30.4257957316713, -97.7111816998544 30.4258138316529)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt13360-p1udt7184)p1u_267311,B,p1udt13360,p1udt13360-p1udt7184x,"LINESTRING(-97.7174481061344 30.4176418673968, -97.7174856602829 30.4176086357183)",0.001,,,0.001,,,205,OVERHEAD,0,second,,1
fuse(r:p1udt14499-p1udt8009)p1u_267407,A,p1udt14499,p1udt14499-p1udt8009x,"LINESTRING(-97.7283392700807 30.4224030205037, -97.7282970666968 30.4223742965203)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt14509-p1udt3788)p1u_267410,A,p1udt14509,p1udt14509-p1udt3788x,"LINESTRING(-97.7240467690953 30.4165903688485, -97.7240630449161 30.4165460584099)",0.001,,,0.001,,,205,OVERHEAD,0,second,,1
fuse(r:p1udt15528-p1udt7183)p1u_267512,B,p1udt15528,p1udt15528-p1udt7183x,"LINESTRING(-97.7190396790569 30.4166980268449, -97.7190037574821 30.4167337634891)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt13033-p1udt15528)p1u_267513,A,p1udt15528,p1udt13033-p1udt15528xxx,"LINESTRING(-97.7190396790569 30.4166980268449, -97.7190886973607 30.4167190414047)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt1530-p1udt16003)p1u_267560,C,p1udt16003,p1udt1530-p1udt16003xxx,"LINESTRING(-97.7283679969536 30.4231770175713, -97.728317075038 30.423185988175)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt16484-p1udt23476)p1u_267609,B,p1udt16484,p1udt16484-p1udt23476x,"LINESTRING(-97.7262002373512 30.4215198762688, -97.7262165131116 30.4214755655899)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt13411-p1udt16524)p1u_267613,A,p1udt16524,p1udt13411-p1udt16524x,"LINESTRING(-97.7215134960131 30.4106473692412, -97.721559423415 30.410661955896)",0.001,,,0.001,,,165,OVERHEAD,0,second,,1
fuse(r:p1udt16708-p1udt7191)p1u_267630,C,p1udt16708,p1udt16708-p1udt7191x,"LINESTRING(-97.7118065351136 30.4295755319988, -97.7118536252097 30.4295476612615)",0.001,,,0.001,,,205,OVERHEAD,0,second,,1
fuse(r:p1udt16708-p1udt17570)p1u_267631,A,p1udt16708,p1udt16708-p1udt17570x,"LINESTRING(-97.7118065351136 30.4295755319988, -97.7117944895141 30.4296234947305)",0.001,,,0.001,,,205,OVERHEAD,0,second,,1
fuse(r:p1udt16708-p1udt21502)p1u_267632,B,p1udt16708,p1udt16708-p1udt21502x,"LINESTRING(-97.7118065351136 30.4295755319988, -97.7117507392591 30.4295681224393)",0.001,,,0.001,,,205,OVERHEAD,0,second,,1
fuse(r:p1udt16715-p1udt16934)p1u_267634,B,p1udt16715,p1udt16715-p1udt16934x,"LINESTRING(-97.7128810864334 30.4289300029828, -97.7129346598448 30.4289273479281)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt17155-p1udt5319)p1u_267674,C,p1udt17155,p1udt17155-p1udt5319x,"LINESTRING(-97.7172649874089 30.4179353656672, -97.7173113969938 30.4179120289268)",0.001,,,0.001,,,445,OVERHEAD,0,second,,1
fuse(r:p1udt17381-p1udt4786)p1u_267703,A,p1udt17381,p1udt17381-p1udt4786x,"LINESTRING(-97.7197636729236 30.4153213198175, -97.7197799504273 30.4152770099538)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt17784-p1udt8018)p1u_267746,C,p1udt17784,p1udt17784-p1udt8018x,"LINESTRING(-97.7182563320003 30.416341480446, -97.7182938853689 30.4163082485065)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt17977-p1udt3791)p1u_267758,C,p1udt17977,p1udt17977-p1udt3791x,"LINESTRING(-97.7264323787783 30.4189192128439, -97.7264858959797 30.4189225823328)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt18360-p1udt3796)p1u_267795,B,p1udt18360,p1udt18360-p1udt3796x,"LINESTRING(-97.7185032583753 30.4153661983752, -97.7184811924138 30.4154086002862)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt18566-p1udt2110)p1u_267810,A,p1udt18566,p1udt18566-p1udt2110x,"LINESTRING(-97.7284912079509 30.4114154827399, -97.7284982390856 30.4113708665316)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt18954-p1udt310)p1u_267848,A,p1udt18954,p1udt18954-p1udt310x,"LINESTRING(-97.713757277331 30.4185001576867, -97.7138107383419 30.4184961938846)",0.001,,,0.001,,,445,OVERHEAD,0,second,,1
fuse(r:p1udt19325-p1udt924)p1u_267891,B,p1udt19325,p1udt19325-p1udt924x,"LINESTRING(-97.7262255196479 30.4196142966345, -97.7262791422527 30.4196126018967)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt17157-p1udt20024)p1u_267970,C,p1udt20024,p1udt17157-p1udt20024xxx,"LINESTRING(-97.710637628792 30.4255221094999, -97.7106425758908 30.4254772796629)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt2106-p1udt21217)p1u_268087,B,p1udt21217,p1udt2106-p1udt21217x,"LINESTRING(-97.713476840018 30.4233448841961, -97.7135227719927 30.4233594737872)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt23020-p1udt23021)p1u_268260,C,p1udt23020,p1udt23020-p1udt23021x,"LINESTRING(-97.7236442583535 30.4109028119972, -97.7236058104887 30.4108766183882)",0.001,,,0.001,,,165,OVERHEAD,0,second,,1
fuse(r:p1udt23481-p1udt24054)p1u_268310,C,p1udt23481,p1udt23481-p1udt24054x,"LINESTRING(-97.7281262772614 30.4120744172358, -97.7281722063954 30.4120890016079)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt21912-p1udt24269)p1u_268394,A,p1udt24269,p1udt21912-p1udt24269xxx,"LINESTRING(-97.7118225045984 30.4251369424945, -97.7117787787505 30.4251099846681)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt24584-p1udt24905)p1u_268467,B,p1udt24905,p1udt24584-p1udt24905x,"LINESTRING(-97.7222028244473 30.4104748897118, -97.7221636407133 30.4105002503369)",0.001,,,0.001,,,165,OVERHEAD,0,second,,1
fuse(r:p1udt326-p1udt3810)p1u_266055,A,p1udt326,p1udt326-p1udt3810x,"LINESTRING(-97.7085871238282 30.4175321958397, -97.7086334587856 30.4175186037122)",0.001,,,0.001,,,115,OVERHEAD,0,second,,1
fuse(r:p1udt329-p1udt5330)p1u_266056,A,p1udt329,p1udt329-p1udt5330x,"LINESTRING(-97.6993417356352 30.4120455955369, -97.699353592181 30.4120011674941)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt13370-p1udt332)p1u_266057,B,p1udt332,p1udt13370-p1udt332xxx,"LINESTRING(-97.7003301090806 30.4156786873953, -97.7003592447098 30.4156396305137)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt22187-p1udt398)p1u_266062,A,p1udt398,p1udt22187-p1udt398x,"LINESTRING(-97.7175686040074 30.405826525665, -97.7176145285397 30.4058411136367)",0.001,,,0.001,,,165,OVERHEAD,0,second,,1
fuse(r:p1udt12388-p1udt2141)p1u_266227,A,p1udt2141,p1udt12388-p1udt2141xxx,"LINESTRING(-97.7110999356915 30.4183669725344, -97.711150944065 30.4183583414333)",0.001,,,0.001,,,475,OVERHEAD,0,second,,1
fuse(r:p1udt2147-p1udt3311)p1u_266228,C,p1udt2147,p1udt2147-p1udt3311x,"LINESTRING(-97.7009331939862 30.4159730875251, -97.7009866539315 30.4159691289493)",0.001,,,0.001,,,205,OVERHEAD,0,second,,1
fuse(r:p1udt2708-p1udt323)p1u_266282,C,p1udt2708,p1udt2708-p1udt323x,"LINESTRING(-97.7017121355332 30.4119684358081, -97.7016624347131 30.411985987975)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt3296-p1udt8425)p1u_266331,B,p1udt3296,p1udt3296-p1udt8425x,"LINESTRING(-97.7135748076162 30.41688192481, -97.7136123627341 30.4168486942715)",0.001,,,0.001,,,301,OVERHEAD,0,second,,1
fuse(r:p1udt13039-p1udt4381)p1u_266425,B,p1udt4381,p1udt13039-p1udt4381xxx,"LINESTRING(-97.6989459843021 30.4108072005097, -97.6989022683999 30.4107802385994)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt21773-p1udt5334)p1u_266514,B,p1udt5334,p1udt21773-p1udt5334xxx,"LINESTRING(-97.6992878996327 30.4148723001019, -97.6993398370733 30.4148736031078)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt4319-p1udt5836)p1u_266556,C,p1udt5836,p1udt4319-p1udt5836x,"LINESTRING(-97.7067915992672 30.4188808975605, -97.7067425049788 30.4188618322964)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt15757-p1udt6726)p1u_266631,C,p1udt6726,p1udt15757-p1udt6726x,"LINESTRING(-97.7143535063897 30.4206271605652, -97.7143091926307 30.4206090948506)",0.001,,,0.001,,,165,OVERHEAD,0,second,,1
fuse(r:p1udt4785-p1udt6742)p1u_266633,C,p1udt6742,p1udt4785-p1udt6742xxx,"LINESTRING(-97.7137681792591 30.4163174219272, -97.7137720051127 30.4163646978582)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt5824-p1udt6742)p1u_266634,A,p1udt6742,p1udt5824-p1udt6742xxx,"LINESTRING(-97.7137681792591 30.4163174219272, -97.7138199266631 30.416302134629)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt7181-p1udt7182)p1u_266677,C,p1udt7181,p1udt7181-p1udt7182x,"LINESTRING(-97.7143449607227 30.4114791819995, -97.7143254650415 30.4115215328659)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt24577-p1udt8030)p1u_266751,A,p1udt8030,p1udt24577-p1udt8030x,"LINESTRING(-97.7101733864931 30.4127576193971, -97.7101289929994 30.4127753707523)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt16930-p1udt8427)p1u_266792,A,p1udt8427,p1udt16930-p1udt8427xxx,"LINESTRING(-97.7131333168272 30.4200268788342, -97.7131868853604 30.4200242235325)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt20805-p1udt8490)p1u_266800,C,p1udt8490,p1udt20805-p1udt8490x,"LINESTRING(-97.7087434561474 30.4046492447991, -97.7086949920967 30.4046550679884)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt15526-p1udt9591)p1u_266925,B,p1udt9591,p1udt15526-p1udt9591x,"LINESTRING(-97.7164697610282 30.4116450511133, -97.7165151461431 30.4116292320591)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt10700-p1udt12048)p1u_267027,B,p1udt10700,p1udt10700-p1udt12048x,"LINESTRING(-97.7127554437969 30.4178419874526, -97.7127717248964 30.4177976785823)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt11368-p1udt9957)p1u_267088,B,p1udt11368,p1udt11368-p1udt9957x,"LINESTRING(-97.7017604928561 30.4163863218032, -97.7018140595248 30.416383671119)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt11707-p1udt20029)p1u_267121,A,p1udt11707,p1udt11707-p1udt20029x,"LINESTRING(-97.6986680871727 30.414988495917, -97.6986288957753 30.4150138492326)",0.001,,,0.001,,,115,OVERHEAD,0,second,,1
fuse(r:p1udt12097-p1udt21926)p1u_267164,C,p1udt12097,p1udt12097-p1udt21926x,"LINESTRING(-97.7135963081159 30.4046577550314, -97.7135475535604 30.4046548320074)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt12712-p1udt20499)p1u_267238,C,p1udt12712,p1udt12712-p1udt20499x,"LINESTRING(-97.7023539466442 30.4163831988812, -97.7024075133046 30.416380547953)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt11042-p1udt13040)p1u_267282,C,p1udt13040,p1udt11042-p1udt13040x,"LINESTRING(-97.7009125915758 30.4115588835598, -97.7009613224734 30.4115433125162)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt13040-p1udt14516)p1u_267283,B,p1udt13040,p1udt13040-p1udt14516x,"LINESTRING(-97.7009125915758 30.4115588835598, -97.7008723767171 30.4115304015914)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt13089-p1udt18385)p1u_267287,B,p1udt13089,p1udt13089-p1udt18385x,"LINESTRING(-97.7090105016008 30.4049647845794, -97.7089661958623 30.4049467172407)",0.001,,,0.001,,,165,OVERHEAD,0,second,,1
fuse(r:p1udt14510-p1udt5314)p1u_267411,A,p1udt14510,p1udt14510-p1udt5314x,"LINESTRING(-97.7157064452115 30.411303191358, -97.7157523719753 30.4113177800385)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt15527-p1udt16255)p1u_267511,A,p1udt15527,p1udt15527-p1udt16255x,"LINESTRING(-97.714726945267 30.4121700087029, -97.7147732768943 30.4121564142878)",0.001,,,0.001,,,165,OVERHEAD,0,second,,1
fuse(r:p1udt1574-p1udt16259)p1u_267586,A,p1udt16259,p1udt1574-p1udt16259xxx,"LINESTRING(-97.7032361066047 30.4145413726925, -97.703190134415 30.4145654120431)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt16259-p1udt3809)p1u_267587,B,p1udt16259,p1udt16259-p1udt3809x,"LINESTRING(-97.7032361066047 30.4145413726925, -97.7032820812339 30.4145173487858)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt13352-p1udt16932)p1u_267653,B,p1udt16932,p1udt13352-p1udt16932x,"LINESTRING(-97.713959850774 30.4214470404964, -97.7139206605089 30.4214723984188)",0.001,,,0.001,,,165,OVERHEAD,0,second,,1
fuse(r:p1udt17997-p1udt4379)p1u_267759,B,p1udt17997,p1udt17997-p1udt4379x,"LINESTRING(-97.7135753652731 30.4039285226657, -97.7136212882801 30.4039431120037)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt18953-p1udt20936)p1u_267847,C,p1udt18953,p1udt18953-p1udt20936x,"LINESTRING(-97.7170873070238 30.4123827040598, -97.7171336384575 30.4123691088008)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt19712-p1udt9654)p1u_267923,C,p1udt19712,p1udt19712-p1udt9654x,"LINESTRING(-97.7114992722668 30.4050732441031, -97.7114600880992 30.4050986015186)",0.001,,,0.001,,,115,OVERHEAD,0,second,,1
fuse(r:p1udt19862-p1udt24588)p1u_267947,C,p1udt19862,p1udt19862-p1udt24588x,"LINESTRING(-97.7000941572 30.4106269866438, -97.7001450885703 30.4106359248194)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt20185-p1udt20347)p1u_267991,A,p1udt20185,p1udt20185-p1udt20347x,"LINESTRING(-97.6978684199163 30.4115658188885, -97.6979220381569 30.411564135685)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt15535-p1udt20345)p1u_268008,C,p1udt20345,p1udt15535-p1udt20345x,"LINESTRING(-97.7094381719588 30.4137768248583, -97.70948409885 30.4137914157453)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt20792-p1udt24782)p1u_268044,C,p1udt20792,p1udt20792-p1udt24782x,"LINESTRING(-97.7155898336316 30.4122584748661, -97.7156357608185 30.4122730635979)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt22648-p1udt3310)p1u_268211,A,p1udt22648,p1udt22648-p1udt3310x,"LINESTRING(-97.7070085008174 30.4148728582234, -97.7070548347012 30.414859266621)",0.001,,,0.001,,,115,OVERHEAD,0,second,,1
fuse(r:p1udt20954-p1udt22667)p1u_268214,B,p1udt22667,p1udt20954-p1udt22667x,"LINESTRING(-97.7108404550672 30.4060941242067, -97.710802012602 30.4060679269603)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt22798-p1udt6804)p1u_268234,A,p1udt22798,p1udt22798-p1udt6804x,"LINESTRING(-97.7155907530666 30.4105982647115, -97.7156366794855 30.4106128534243)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt23026-p1udt9959)p1u_268261,A,p1udt23026,p1udt23026-p1udt9959x,"LINESTRING(-97.6971162798644 30.4118038387476, -97.6970739933999 30.4118350830403)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt17981-p1udt23483)p1u_268311,A,p1udt23483,p1udt17981-p1udt23483x,"LINESTRING(-97.7093345855421 30.4224390267709, -97.7093809227514 30.4224254344519)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt22651-p1udt23488)p1u_268312,C,p1udt23488,p1udt22651-p1udt23488x,"LINESTRING(-97.6982416687365 30.4149571762235, -97.6982880037557 30.4149435877695)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt2693-p1udt7186)p1u_266279,C,p1udt2693,p1udt2693-p1udt7186x,"LINESTRING(-97.7187859863015 30.4193320039575, -97.7187528005535 30.4193007766834)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt23938-p1udt3778)p1u_266373,C,p1udt3778,p1udt23938-p1udt3778xxx,"LINESTRING(-97.7254896550793 30.4278276435277, -97.7254463944743 30.4278551867187)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt21499-p1udt3784)p1u_266374,A,p1udt3784,p1udt21499-p1udt3784xxx,"LINESTRING(-97.7227709275996 30.4242634439763, -97.7228245527566 30.4242617507331)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt24780-p1udt4775)p1u_266468,C,p1udt4775,p1udt24780-p1udt4775xxx,"LINESTRING(-97.7185842030123 30.4229476239026, -97.7185891463132 30.4229027936393)",0.001,,,0.001,,,151,OVERHEAD,0,second,,1
fuse(r:p1udt24362-p1udt6744)p1u_266635,C,p1udt6744,p1udt24362-p1udt6744x,"LINESTRING(-97.7193414508886 30.4191359401439, -97.7193022629007 30.4191612997572)",0.001,,,0.001,,,325,OVERHEAD,0,second,,1
fuse(r:p1udt17575-p1udt7604)p1u_266717,B,p1udt7604,p1udt17575-p1udt7604xxx,"LINESTRING(-97.7258576797514 30.4282449526483, -97.7258952353395 30.4282117186372)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt14221-p1udt25271)p1u_267382,A,p1udt14221,p1udt14221-p1udt25271x,"LINESTRING(-97.7241002020749 30.4271169532812, -97.724155116853 30.4271224751633)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt14503-p1udt294)p1u_267408,B,p1udt14503,p1udt14503-p1udt294x,"LINESTRING(-97.722112373287 30.4208714751996, -97.7220701724464 30.4208427492668)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt15000-p1udt295)p1u_267453,A,p1udt15000,p1udt15000-p1udt295x,"LINESTRING(-97.7204681185955 30.4205924710556, -97.7205145287433 30.4205691331998)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
fuse(r:p1udt15268-p1udt1532)p1u_267477,C,p1udt15268,p1udt15268-p1udt1532x,"LINESTRING(-97.7243978874292 30.425287507077, -97.7243541578967 30.425260553364)",0.001,,,0.001,,,295,OVERHEAD,0,second,,1
