load_name,phase_code,bus,geometry,connection_type,real_power_value,real_power_units,reactive_power_value,reactive_power_units,z_real,z_imag,i_real,i_imag,p_real,p_imag,num_customers,in_service
load_p1ulv308_2,S2,p1ulv308,POINT(-97.7286770623904 30.418761892129),STAR,3.19594065137055,kilowatt,1.39122252965524,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv309_1,S1,p1ulv309,POINT(-97.72664128968 30.4199962399266),STAR,4.43641140651354,kilowatt,1.71016855040791,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv309_2,S2,p1ulv309,POINT(-97.72664128968 30.4199962399266),STAR,4.43641140651354,kilowatt,1.71016855040791,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv310_1,S1,p1ulv310,POINT(-97.7227080423297 30.4174313941679),STAR,6.22909580703869,kilowatt,1.60310224806142,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv310_2,S2,p1ulv310,POINT(-97.7227080423297 30.4174313941679),STAR,6.22909580703869,kilowatt,1.60310224806142,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv311_1,S1,p1ulv311,POINT(-97.7144775201281 30.4178829617742),STAR,4.21789514402515,kilowatt,0.970048969558443,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv311_2,S2,p1ulv311,POINT(-97.7144775201281 30.4178829617742),STAR,4.21789514402515,kilowatt,0.970048969558443,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv312_1,S1,p1ulv312,POINT(-97.7152679395743 30.4179448800779),STAR,7.47211462160751,kilowatt,0.579834712022576,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv312_2,S2,p1ulv312,POINT(-97.7152679395743 30.4179448800779),STAR,7.47211462160751,kilowatt,0.579834712022576,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv313_1,S1,p1ulv313,POINT(-97.7144692410966 30.4185144846228),STAR,8.25578268592356,kilowatt,0.958826256139906,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv313_2,S2,p1ulv313,POINT(-97.7144692410966 30.4185144846228),STAR,8.25578268592356,kilowatt,0.958826256139906,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv314_1,S1,p1ulv314,POINT(-97.7145102901133 30.4193540202676),STAR,6.68399223188061,kilowatt,1.94124818417625,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv314_2,S2,p1ulv314,POINT(-97.7145102901133 30.4193540202676),STAR,6.68399223188061,kilowatt,1.94124818417625,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv905_1,S1,p1ulv905,POINT(-97.7141513630697 30.4303251805247),STAR,8.15719193317351,kilowatt,2.25787255634724,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv905_2,S2,p1ulv905,POINT(-97.7141513630697 30.4303251805247),STAR,8.15719193317351,kilowatt,2.25787255634724,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv906_1,S1,p1ulv906,POINT(-97.7159648829967 30.43229816853),STAR,6.15683682332178,kilowatt,1.83801791387366,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv906_2,S2,p1ulv906,POINT(-97.7159648829967 30.43229816853),STAR,6.15683682332178,kilowatt,1.83801791387366,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv907_1,S1,p1ulv907,POINT(-97.7171749544329 30.4329236254477),STAR,3.84308454680925,kilowatt,1.26531006016579,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv907_2,S2,p1ulv907,POINT(-97.7171749544329 30.4329236254477),STAR,3.84308454680925,kilowatt,1.26531006016579,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv908_1,S1,p1ulv908,POINT(-97.7154035316451 30.4361995603719),STAR,9.48863829570203,kilowatt,1.7395632354447,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv908_2,S2,p1ulv908,POINT(-97.7154035316451 30.4361995603719),STAR,9.48863829570203,kilowatt,1.7395632354447,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv917_1,S1,p1ulv917,POINT(-97.7260370265242 30.4208294776063),STAR,6.78921854036453,kilowatt,1.36017509056971,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv917_2,S2,p1ulv917,POINT(-97.7260370265242 30.4208294776063),STAR,6.78921854036453,kilowatt,1.36017509056971,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv927,ABC,p1ulv927,POINT(-97.7146996923183 30.4247606111954),STAR,17.8973033067952,kilowatt,4.71667341890335,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv927,ABC,p1ulv927,POINT(-97.7146996923183 30.4247606111954),STAR,17.8973033067952,kilowatt,4.71667341890335,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv927,ABC,p1ulv927,POINT(-97.7146996923183 30.4247606111954),STAR,17.8973033067952,kilowatt,4.71667341890335,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv928_1,S1,p1ulv928,POINT(-97.7171181972479 30.4293048817732),STAR,3.84308454680925,kilowatt,1.26531006016579,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv928_2,S2,p1ulv928,POINT(-97.7171181972479 30.4293048817732),STAR,3.84308454680925,kilowatt,1.26531006016579,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv933_1,S1,p1ulv933,POINT(-97.7262488621228 30.4157426066541),STAR,4.53430441108549,kilowatt,1.20786406873205,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv933_2,S2,p1ulv933,POINT(-97.7262488621228 30.4157426066541),STAR,4.53430441108549,kilowatt,1.20786406873205,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv934_1,S1,p1ulv934,POINT(-97.7236570390862 30.4157082714284),STAR,7.47211462160751,kilowatt,0.579834712022576,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv934_2,S2,p1ulv934,POINT(-97.7236570390862 30.4157082714284),STAR,7.47211462160751,kilowatt,0.579834712022576,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv935_1,S1,p1ulv935,POINT(-97.7253449489586 30.4172045240186),STAR,7.47211462160751,kilowatt,0.579834712022576,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv935_2,S2,p1ulv935,POINT(-97.7253449489586 30.4172045240186),STAR,7.47211462160751,kilowatt,0.579834712022576,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv937_1,S1,p1ulv937,POINT(-97.7273225091004 30.4188479464768),STAR,12.949258651189,kilowatt,1.99120928911925,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv937_2,S2,p1ulv937,POINT(-97.7273225091004 30.4188479464768),STAR,12.949258651189,kilowatt,1.99120928911925,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv938_1,S1,p1ulv938,POINT(-97.7249869315268 30.41884036661),STAR,14.8387400069321,kilowatt,2.36264743031707,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv938_2,S2,p1ulv938,POINT(-97.7249869315268 30.41884036661),STAR,14.8387400069321,kilowatt,2.36264743031707,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv939_1,S1,p1ulv939,POINT(-97.7276972597725 30.4188515992494),STAR,5.12223907490575,kilowatt,0.529630657162983,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv939_2,S2,p1ulv939,POINT(-97.7276972597725 30.4188515992494),STAR,5.12223907490575,kilowatt,0.529630657162983,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv940_1,S1,p1ulv940,POINT(-97.7277262565276 30.4198263594667),STAR,5.32722444563868,kilowatt,1.01766852017851,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv940_2,S2,p1ulv940,POINT(-97.7277262565276 30.4198263594667),STAR,5.32722444563868,kilowatt,1.01766852017851,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv941_1,S1,p1ulv941,POINT(-97.725628674523 30.4199293851161),STAR,7.10486699826947,kilowatt,1.6943432300979,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv941_2,S2,p1ulv941,POINT(-97.725628674523 30.4199293851161),STAR,7.10486699826947,kilowatt,1.6943432300979,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv943_1,S1,p1ulv943,POINT(-97.7165322055154 30.4168023810904),STAR,4.84056031155858,kilowatt,1.4249108881456,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv943_2,S2,p1ulv943,POINT(-97.7165322055154 30.4168023810904),STAR,4.84056031155858,kilowatt,1.4249108881456,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv944_1,S1,p1ulv944,POINT(-97.7146070550374 30.4199143939802),STAR,3.55021206979271,kilowatt,0.790564198856463,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv944_2,S2,p1ulv944,POINT(-97.7146070550374 30.4199143939802),STAR,3.55021206979271,kilowatt,0.790564198856463,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1579_1,S1,p1ulv1579,POINT(-97.7182771296342 30.4298576422435),STAR,9.24237757210405,kilowatt,2.42132301269078,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1579_2,S2,p1ulv1579,POINT(-97.7182771296342 30.4298576422435),STAR,9.24237757210405,kilowatt,2.42132301269078,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1586_1,S1,p1ulv1586,POINT(-97.7285660527355 30.4233083728934),STAR,5.87726800556973,kilowatt,1.45262356428587,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1586_2,S2,p1ulv1586,POINT(-97.7285660527355 30.4233083728934),STAR,5.87726800556973,kilowatt,1.45262356428587,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1590_1,S1,p1ulv1590,POINT(-97.7290802504351 30.4254067014552),STAR,12.6697538211488,kilowatt,2.54213123300322,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1590_2,S2,p1ulv1590,POINT(-97.7290802504351 30.4254067014552),STAR,12.6697538211488,kilowatt,2.54213123300322,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1591_1,S1,p1ulv1591,POINT(-97.7279268890464 30.427633153864),STAR,5.64264543376598,kilowatt,1.70477613745688,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1591_2,S2,p1ulv1591,POINT(-97.7279268890464 30.427633153864),STAR,5.64264543376598,kilowatt,1.70477613745688,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1594_1,S1,p1ulv1594,POINT(-97.7142335868623 30.4269576106848),STAR,3.16866704091724,kilowatt,0.710023973281543,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1594_2,S2,p1ulv1594,POINT(-97.7142335868623 30.4269576106848),STAR,3.16866704091724,kilowatt,0.710023973281543,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1595_1,S1,p1ulv1595,POINT(-97.7178069375506 30.428391312503),STAR,12.949258651189,kilowatt,1.99120928911925,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1595_2,S2,p1ulv1595,POINT(-97.7178069375506 30.428391312503),STAR,12.949258651189,kilowatt,1.99120928911925,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1599_1,S1,p1ulv1599,POINT(-97.7282266532671 30.4149588452731),STAR,6.4072691040587,kilowatt,1.06070887973366,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1599_2,S2,p1ulv1599,POINT(-97.7282266532671 30.4149588452731),STAR,6.4072691040587,kilowatt,1.06070887973366,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1600_1,S1,p1ulv1600,POINT(-97.7277334355012 30.4152608200992),STAR,3.25671532351645,kilowatt,1.23599539253761,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1600_2,S2,p1ulv1600,POINT(-97.7277334355012 30.4152608200992),STAR,3.25671532351645,kilowatt,1.23599539253761,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1601_1,S1,p1ulv1601,POINT(-97.7272593831485 30.4164923431124),STAR,9.48028589764546,kilowatt,2.05245186384581,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1601_2,S2,p1ulv1601,POINT(-97.7272593831485 30.4164923431124),STAR,9.48028589764546,kilowatt,2.05245186384581,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1602_1,S1,p1ulv1602,POINT(-97.7274765776277 30.4166027356221),STAR,7.47211462160751,kilowatt,0.579834712022576,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1602_2,S2,p1ulv1602,POINT(-97.7274765776277 30.4166027356221),STAR,7.47211462160751,kilowatt,0.579834712022576,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1605_1,S1,p1ulv1605,POINT(-97.7280666327955 30.418467212027),STAR,12.1981517908104,kilowatt,2.74753471469641,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1605_2,S2,p1ulv1605,POINT(-97.7280666327955 30.418467212027),STAR,12.1981517908104,kilowatt,2.74753471469641,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1607_1,S1,p1ulv1607,POINT(-97.7277432132602 30.4201242817467),STAR,5.78489116901669,kilowatt,1.26231177861724,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1607_2,S2,p1ulv1607,POINT(-97.7277432132602 30.4201242817467),STAR,5.78489116901669,kilowatt,1.26231177861724,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1608_1,S1,p1ulv1608,POINT(-97.7218621407855 30.4128394636557),STAR,6.3416220579354,kilowatt,1.46160246136589,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1608_2,S2,p1ulv1608,POINT(-97.7218621407855 30.4128394636557),STAR,6.3416220579354,kilowatt,1.46160246136589,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1613_1,S1,p1ulv1613,POINT(-97.7194109964453 30.4163885269708),STAR,7.10486699826947,kilowatt,1.6943432300979,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1613_2,S2,p1ulv1613,POINT(-97.7194109964453 30.4163885269708),STAR,7.10486699826947,kilowatt,1.6943432300979,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1614_1,S1,p1ulv1614,POINT(-97.7171030746062 30.4169343129813),STAR,13.3732945011669,kilowatt,1.89508937718001,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1614_2,S2,p1ulv1614,POINT(-97.7171030746062 30.4169343129813),STAR,13.3732945011669,kilowatt,1.89508937718001,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1615_1,S1,p1ulv1615,POINT(-97.7193845643293 30.4176153861366),STAR,11.0527277913833,kilowatt,0.697642039858908,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1615_2,S2,p1ulv1615,POINT(-97.7193845643293 30.4176153861366),STAR,11.0527277913833,kilowatt,0.697642039858908,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1616_1,S1,p1ulv1616,POINT(-97.7214818891788 30.4180509973178),STAR,7.30420498018569,kilowatt,0.957937754687622,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1616_2,S2,p1ulv1616,POINT(-97.7214818891788 30.4180509973178),STAR,7.30420498018569,kilowatt,0.957937754687622,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1617_1,S1,p1ulv1617,POINT(-97.7139717050594 30.4191411886569),STAR,6.49103912489884,kilowatt,1.52622346072772,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1617_2,S2,p1ulv1617,POINT(-97.7139717050594 30.4191411886569),STAR,6.49103912489884,kilowatt,1.52622346072772,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1618_1,S1,p1ulv1618,POINT(-97.70824494993 30.4247239637127),STAR,6.4104361615876,kilowatt,1.41009703948587,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1618_2,S2,p1ulv1618,POINT(-97.70824494993 30.4247239637127),STAR,6.4104361615876,kilowatt,1.41009703948587,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1619_1,S1,p1ulv1619,POINT(-97.7092315842216 30.4264931893159),STAR,6.44599317743586,kilowatt,1.115152505428,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1619_2,S2,p1ulv1619,POINT(-97.7092315842216 30.4264931893159),STAR,6.44599317743586,kilowatt,1.115152505428,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1620_1,S1,p1ulv1620,POINT(-97.7107495848681 30.4274465733532),STAR,7.27609059302312,kilowatt,0.933671219535512,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1620_2,S2,p1ulv1620,POINT(-97.7107495848681 30.4274465733532),STAR,7.27609059302312,kilowatt,0.933671219535512,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1621_1,S1,p1ulv1621,POINT(-97.7090709411546 30.4284134779473),STAR,8.31354930368637,kilowatt,2.05818300907439,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1621_2,S2,p1ulv1621,POINT(-97.7090709411546 30.4284134779473),STAR,8.31354930368637,kilowatt,2.05818300907439,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1622_1,S1,p1ulv1622,POINT(-97.7078279769708 30.4292284488403),STAR,9.48028589764546,kilowatt,2.05245186384581,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv1622_2,S2,p1ulv1622,POINT(-97.7078279769708 30.4292284488403),STAR,9.48028589764546,kilowatt,2.05245186384581,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2201_1,S1,p1ulv2201,POINT(-97.718705604758 30.432126599624),STAR,5.26235642792599,kilowatt,1.57227226843026,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2201_2,S2,p1ulv2201,POINT(-97.718705604758 30.432126599624),STAR,5.26235642792599,kilowatt,1.57227226843026,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2202_1,S1,p1ulv2202,POINT(-97.7150742602077 30.4327225026246),STAR,5.88165808837383,kilowatt,1.69027504739921,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2202_2,S2,p1ulv2202,POINT(-97.7150742602077 30.4327225026246),STAR,5.88165808837383,kilowatt,1.69027504739921,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2203_1,S1,p1ulv2203,POINT(-97.7111196204968 30.4307046583652),STAR,6.40196092213197,kilowatt,1.87684682209385,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2203_2,S2,p1ulv2203,POINT(-97.7111196204968 30.4307046583652),STAR,6.40196092213197,kilowatt,1.87684682209385,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2215_1,S1,p1ulv2215,POINT(-97.7295196532285 30.4263251315373),STAR,6.4104361615876,kilowatt,1.41009703948587,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2215_2,S2,p1ulv2215,POINT(-97.7295196532285 30.4263251315373),STAR,6.4104361615876,kilowatt,1.41009703948587,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2216_1,S1,p1ulv2216,POINT(-97.7295765658883 30.4264762392266),STAR,7.65397806330337,kilowatt,0.97822757786334,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2216_2,S2,p1ulv2216,POINT(-97.7295765658883 30.4264762392266),STAR,7.65397806330337,kilowatt,0.97822757786334,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2219_1,S1,p1ulv2219,POINT(-97.7136102863597 30.4236761535064),STAR,3.9097971026573,kilowatt,0.994981903445947,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2219_2,S2,p1ulv2219,POINT(-97.7136102863597 30.4236761535064),STAR,3.9097971026573,kilowatt,0.994981903445947,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2221_1,S1,p1ulv2221,POINT(-97.7173381974722 30.4276107366482),STAR,6.66224985056672,kilowatt,1.82755214278343,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2221_2,S2,p1ulv2221,POINT(-97.7173381974722 30.4276107366482),STAR,6.66224985056672,kilowatt,1.82755214278343,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2222_1,S1,p1ulv2222,POINT(-97.7244974646681 30.4111238067473),STAR,5.2354700863374,kilowatt,0.974660221887367,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2222_2,S2,p1ulv2222,POINT(-97.7244974646681 30.4111238067473),STAR,5.2354700863374,kilowatt,0.974660221887367,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2223_1,S1,p1ulv2223,POINT(-97.7299593455208 30.4113935995974),STAR,5.88165808837383,kilowatt,1.69027504739921,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2223_2,S2,p1ulv2223,POINT(-97.7299593455208 30.4113935995974),STAR,5.88165808837383,kilowatt,1.69027504739921,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2224_1,S1,p1ulv2224,POINT(-97.7237009094443 30.4131371622577),STAR,6.95676443222933,kilowatt,1.33193959446276,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2224_2,S2,p1ulv2224,POINT(-97.7237009094443 30.4131371622577),STAR,6.95676443222933,kilowatt,1.33193959446276,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2225_1,S1,p1ulv2225,POINT(-97.7252109541439 30.4144213136418),STAR,6.88677019439032,kilowatt,1.80490069831223,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2225_2,S2,p1ulv2225,POINT(-97.7252109541439 30.4144213136418),STAR,6.88677019439032,kilowatt,1.80490069831223,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2227_1,S1,p1ulv2227,POINT(-97.725233023926 30.4170049265205),STAR,4.92364407970926,kilowatt,1.2162147374432,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2227_2,S2,p1ulv2227,POINT(-97.725233023926 30.4170049265205),STAR,4.92364407970926,kilowatt,1.2162147374432,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2229_1,S1,p1ulv2229,POINT(-97.7220508618969 30.4135360773003),STAR,11.4712629061523,kilowatt,1.38328571982392,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
load_p1ulv2229_2,S2,p1ulv2229,POINT(-97.7220508618969 30.4135360773003),STAR,11.4712629061523,kilowatt,1.38328571982392,kilovar,0.0,0.0,0.0,0.0,1.0,1.0,,1
