branch_name,phase_code,from_bus,to_bus,equipment,length_value_original,length_units_original,length_km,geometry,r11,r22,r33,x11,x22,x33,ampacity_value,construction,in_service
l(r:p1udm1017-p1ulv295),S1S2,p1udm1017,p1ulv295,1p_ug_al_4/0_sweetbriar_2,0.0238594,kilometer,0.0238594,"LINESTRING(-97.7285820595719 30.4276936748843, -97.7285377253104 30.4279007704502)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udm1017-p1ulv65105),S1S2,p1udm1017,p1ulv65105,1p_ug_al_1/0_brenau_2,0.0137828,kilometer,0.0137828,"LINESTRING(-97.7285820595719 30.4276936748843, -97.728594108495 30.4275674712064)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1017-p1udt292lv),S1S2,p1udt292lv,p1udm1017,1p_ug_al_4/0_sweetbriar_2,0.00926104,kilometer,0.00926104,"LINESTRING(-97.7284405450703 30.4276826240513, -97.7285820595719 30.4276936748843)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udm1018-p1ulv42645),S1S2,p1udm1018,p1ulv42645,1p_ug_al_1/0_brenau_2,0.013032,kilometer,0.013032,"LINESTRING(-97.7283952524431 30.42764674047, -97.7284071845645 30.4275295586064)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1018-p1ulv57055),S1S2,p1udm1018,p1ulv57055,1p_ug_al_1/0_brenau_2,0.01813,kilometer,0.01813,"LINESTRING(-97.7283952524431 30.42764674047, -97.7283619137112 30.4278088284355)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1018-p1udt292lv),S1S2,p1udt292lv,p1udm1018,1p_ug_al_4/0_sweetbriar_2,0.00926362,kilometer,0.00926362,"LINESTRING(-97.7284405450703 30.4276826240513, -97.7283952524431 30.42764674047)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udm1038-p1ulv301),S1S2,p1udm1038,p1ulv301,1p_ug_al_1/0_brenau_2,0.017737,kilometer,0.017737,"LINESTRING(-97.7137711495034 30.4264928863672, -97.7139079063152 30.4263859589955)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1038-p1udt298lv),S1S2,p1udt298lv,p1udm1038,1p_ug_al_1/0_brenau_2,0.00810355,kilometer,0.00810355,"LINESTRING(-97.7137926878313 30.4265190628764, -97.7137711495034 30.4264928863672)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1039-p1ulv32558),S1S2,p1udm1039,p1ulv32558,1p_ug_al_1/0_brenau_2,0.0157481,kilometer,0.0157481,"LINESTRING(-97.7138842445811 30.4266022756416, -97.7137479609486 30.4266731160131)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1039-p1ulv34519),S1S2,p1udm1039,p1ulv34519,1p_ug_al_1/0_brenau_2,0.0172956,kilometer,0.0172956,"LINESTRING(-97.7138842445811 30.4266022756416, -97.7137888927607 30.4267276567984)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1039-p1udt298lv),S1S2,p1udt298lv,p1udm1039,1p_ug_al_4/0_sweetbriar_2,0.00809645,kilometer,0.00809645,"LINESTRING(-97.7137926878313 30.4265190628764, -97.7138842445811 30.4266022756416)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udt301lv-p1ulv28182),S1S2,p1udt301lv,p1ulv28182,1p_ug_al_1/0_brenau_2,0.0249584,kilometer,0.0249584,"LINESTRING(-97.7270018974224 30.4141883323594, -97.7271878392629 30.4139832668022)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1049-p1ulv304),S1S2,p1udm1049,p1ulv304,1p_ug_al_1/0_brenau_2,0.00996725,kilometer,0.00996725,"LINESTRING(-97.7271327488581 30.4142173263456, -97.7270728019644 30.4143007845526)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1049-p1ulv38275),S1S2,p1udm1049,p1ulv38275,1p_ug_al_1/0_brenau_2,0.0245601,kilometer,0.0245601,"LINESTRING(-97.7271327488581 30.4142173263456, -97.7272324532009 30.4140316525985)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1049-p1udt301lv),S1S2,p1udt301lv,p1udm1049,1p_ug_al_4/0_sweetbriar_2,0.00933443,kilometer,0.00933443,"LINESTRING(-97.7270018974224 30.4141883323594, -97.7271327488581 30.4142173263456)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udm1052-p1ulv42059),S1S2,p1udm1052,p1ulv42059,1p_ug_al_1/0_brenau_2,0.0302873,kilometer,0.0302873,"LINESTRING(-97.7269672548358 30.4141345062846, -97.7270954442571 30.4138831136163)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1052-p1udt301lv),S1S2,p1udt301lv,p1udm1052,1p_ug_al_1/0_brenau_2,0.00933921,kilometer,0.00933921,"LINESTRING(-97.7270018974224 30.4141883323594, -97.7269672548358 30.4141345062846)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1054-p1ulv39557),S1S2,p1udm1054,p1ulv39557,1p_ug_al_1/0_brenau_2,0.0200664,kilometer,0.0200664,"LINESTRING(-97.7252645422069 30.4153811049131, -97.7250458282958 30.4153879922022)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1054-p1udt302lv),S1S2,p1udt302lv,p1udm1054,1p_ug_al_1/0_brenau_2,0.0187943,kilometer,0.0187943,"LINESTRING(-97.7251645195541 30.4155405449292, -97.7252645422069 30.4153811049131)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1055-p1ulv63225),S1S2,p1udm1055,p1ulv63225,1p_ug_al_1/0_brenau_2,0.0182774,kilometer,0.0182774,"LINESTRING(-97.7252093290579 30.4156241852393, -97.7250435998488 30.4155594063278)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1053-p1ulv305),S1S2,p1udm1053,p1ulv305,1p_ug_al_1/0_brenau_2,0.0193206,kilometer,0.0193206,"LINESTRING(-97.72518745481 30.4157051781254, -97.7249902627261 30.415658137807)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1053-p1udm1055),S1S2,p1udm1055,p1udm1053,1p_ug_al_1/0_brenau_2,0.00931831,kilometer,0.00931831,"LINESTRING(-97.7252093290579 30.4156241852393, -97.72518745481 30.4157051781254)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1055-p1udt302lv),S1S2,p1udt302lv,p1udm1055,1p_ug_al_4/0_sweetbriar_2,0.00931831,kilometer,0.00931831,"LINESTRING(-97.7251645195541 30.4155405449292, -97.7252093290579 30.4156241852393)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udm1056-p1ulv306),S1S2,p1udm1056,p1ulv306,1p_ug_al_1/0_brenau_2,0.0140182,kilometer,0.0140182,"LINESTRING(-97.72710710515 30.4161931013669, -97.7272418426591 30.4162395296812)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1056-p1udt303lv),S1S2,p1udt303lv,p1udm1056,1p_ug_al_1/0_brenau_2,0.0148608,kilometer,0.0148608,"LINESTRING(-97.7271720047262 30.4160246189586, -97.72710710515 30.4161931013669)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1058-p1ulv56462),S1S2,p1udm1058,p1ulv56462,1p_ug_al_1/0_brenau_2,0.0185395,kilometer,0.0185395,"LINESTRING(-97.7271617285269 30.4159951291481, -97.7273488642381 30.4160149993523)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1057-p1ulv5344),S1S2,p1udm1057,p1ulv5344,1p_ug_al_1/0_brenau_2,0.0142214,kilometer,0.0142214,"LINESTRING(-97.7271524900413 30.4159048096343, -97.7270100863532 30.415924303233)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1057-p1udm1058),S1S2,p1udm1058,p1udm1057,1p_ug_al_1/0_brenau_2,0.00981222,kilometer,0.00981222,"LINESTRING(-97.7271617285269 30.4159951291481, -97.7271524900413 30.4159048096343)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1058-p1udt303lv),S1S2,p1udt303lv,p1udm1058,1p_ug_al_4/0_sweetbriar_2,0.00779241,kilometer,0.00779241,"LINESTRING(-97.7271720047262 30.4160246189586, -97.7271617285269 30.4159951291481)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udt305lv-p1ulv308),S1S2,p1udt305lv,p1ulv308,1p_ug_al_1/0_brenau_2,0.0174156,kilometer,0.0174156,"LINESTRING(-97.7287646402316 30.4185914065184, -97.7286770623904 30.418761892129)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udt305lv-p1ulv10395),S1S2,p1udt305lv,p1ulv10395,1p_ug_al_4/0_sweetbriar_2,0.0248562,kilometer,0.0248562,"LINESTRING(-97.7287646402316 30.4185914065184, -97.7285353034227 30.4184537314952)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udt305lv-p1ulv38944),S1S2,p1udt305lv,p1ulv38944,1p_ug_al_1/0_brenau_2,0.0209724,kilometer,0.0209724,"LINESTRING(-97.7287646402316 30.4185914065184, -97.7285116764465 30.4186700520236)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1066-p1ulv47139),S1S2,p1udm1066,p1ulv47139,1p_ug_al_2/0_converse_2,0.0170825,kilometer,0.0170825,"LINESTRING(-97.728824903877 30.4186009187754, -97.7288020961862 30.4187540867356)",0.7793333,0.7793333,,0.4209333,0.4209333,,233,OVERHEAD,1
l(r:p1udm1066-p1udt305lv),S1S2,p1udt305lv,p1udm1066,1p_ug_al_2/0_converse_2,0.00986931,kilometer,0.00986931,"LINESTRING(-97.7287646402316 30.4185914065184, -97.728824903877 30.4186009187754)",0.7793333,0.7793333,,0.4209333,0.4209333,,233,OVERHEAD,1
l(r:p1udm1067-p1ulv309),S1S2,p1udm1067,p1ulv309,1p_ug_al_1/0_brenau_2,0.0152419,kilometer,0.0152419,"LINESTRING(-97.7267865591214 30.4200337485694, -97.72664128968 30.4199962399266)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1067-p1ulv43982),S1S2,p1udm1067,p1ulv43982,1p_ug_al_1/0_brenau_2,0.0105117,kilometer,0.0105117,"LINESTRING(-97.7267865591214 30.4200337485694, -97.7268903063455 30.4200618291879)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1070-p1ulv31937),S1S2,p1udm1070,p1ulv31937,1p_ug_al_1/0_brenau_2,0.0175158,kilometer,0.0175158,"LINESTRING(-97.7266378919891 30.4202578719891, -97.7264934425107 30.4201572106117)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1070-p1ulv65096),S1S2,p1udm1070,p1ulv65096,1p_ug_al_1/0_brenau_2,0.00920313,kilometer,0.00920313,"LINESTRING(-97.7266378919891 30.4202578719891, -97.7267315809726 30.4202587858124)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1067-p1udm1070),S1S2,p1udm1067,p1udm1070,1p_ug_al_4/0_sweetbriar_2,0.0286204,kilometer,0.0286204,"LINESTRING(-97.7267865591214 30.4200337485694, -97.7266378919891 30.4202578719891)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udm1067-p1udt306lv),S1S2,p1udt306lv,p1udm1067,1p_ug_al_4/0_sweetbriar_2,0.00954213,kilometer,0.00954213,"LINESTRING(-97.7267782555402 30.4199671074111, -97.7267865591214 30.4200337485694)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udm1069-p1ulv22406),S1S2,p1udm1069,p1ulv22406,1p_ug_al_1/0_brenau_2,0.0131613,kilometer,0.0131613,"LINESTRING(-97.7270307881117 30.4196661897966, -97.7271690929306 30.4197154891714)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1068-p1ulv9780),S1S2,p1udm1068,p1ulv9780,1p_ug_al_1/0_brenau_2,0.0139623,kilometer,0.0139623,"LINESTRING(-97.7270733643712 30.4195944214365, -97.7272081064765 30.4196408498944)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1068-p1udm1069),S1S2,p1udm1069,p1udm1068,1p_ug_al_1/0_brenau_2,0.00926002,kilometer,0.00926002,"LINESTRING(-97.7270307881117 30.4196661897966, -97.7270733643712 30.4195944214365)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1069-p1udt306lv),S1S2,p1udt306lv,p1udm1069,1p_ug_al_4/0_sweetbriar_2,0.037309,kilometer,0.037309,"LINESTRING(-97.7267782555402 30.4199671074111, -97.7270307881117 30.4196661897966)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udm1073-p1ulv310),S1S2,p1udm1073,p1ulv310,1p_ug_al_1/0_brenau_2,0.0173388,kilometer,0.0173388,"LINESTRING(-97.7228737730006 30.4174961760729, -97.7227080423297 30.4174313941679)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1073-p1udt307lv),S1S2,p1udt307lv,p1udm1073,1p_ug_al_1/0_brenau_2,0.00992817,kilometer,0.00992817,"LINESTRING(-97.7228694086662 30.4175611925298, -97.7228737730006 30.4174961760729)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1074-p1ulv44632),S1S2,p1udm1074,p1ulv44632,1p_ug_al_4/0_sweetbriar_2,0.0211021,kilometer,0.0211021,"LINESTRING(-97.7227779717081 30.41765765169, -97.7225703674377 30.4176105058108)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udm1074-p1udt307lv),S1S2,p1udt307lv,p1udm1074,1p_ug_al_4/0_sweetbriar_2,0.00991476,kilometer,0.00991476,"LINESTRING(-97.7228694086662 30.4175611925298, -97.7227779717081 30.41765765169)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udt308lv-p1ulv43987),S1S2,p1udt308lv,p1ulv43987,1p_ug_al_1/0_brenau_2,0.0154727,kilometer,0.0154727,"LINESTRING(-97.7144648411901 30.4180453082229, -97.7143838338633 30.4178820392228)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1075-p1ulv311),S1S2,p1udm1075,p1ulv311,1p_ug_al_1/0_brenau_2,0.0149146,kilometer,0.0149146,"LINESTRING(-97.7145070931388 30.4180095738527, -97.7144775201281 30.4178829617742)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1075-p1ulv58858),S1S2,p1udm1075,p1ulv58858,1p_ug_al_1/0_brenau_2,0.0145535,kilometer,0.0145535,"LINESTRING(-97.7145070931388 30.4180095738527, -97.7145470758324 30.418136288422)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1076-p1ulv2240),S1S2,p1udm1076,p1ulv2240,1p_ug_al_1/0_brenau_2,0.0150347,kilometer,0.0150347,"LINESTRING(-97.7145800785927 30.4180012695768, -97.7146303527332 30.418137108373)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1075-p1udm1076),S1S2,p1udm1075,p1udm1076,1p_ug_al_1/0_brenau_2,0.00733939,kilometer,0.00733939,"LINESTRING(-97.7145070931388 30.4180095738527, -97.7145800785927 30.4180012695768)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1075-p1udt308lv),S1S2,p1udt308lv,p1udm1075,1p_ug_al_4/0_sweetbriar_2,0.00734055,kilometer,0.00734055,"LINESTRING(-97.7144648411901 30.4180453082229, -97.7145070931388 30.4180095738527)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udm1077-p1ulv37671),S1S2,p1udm1077,p1ulv37671,1p_ug_al_1/0_brenau_2,0.01518,kilometer,0.01518,"LINESTRING(-97.7142668443506 30.4180703684145, -97.7142165707499 30.4179345294924)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1079-p1ulv47747),S1S2,p1udm1079,p1ulv47747,1p_ug_al_1/0_brenau_2,0.0117243,kilometer,0.0117243,"LINESTRING(-97.7141046666874 30.4185289399618, -97.7141476066324 30.418430110802)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1077-p1udm1079),S1S2,p1udm1077,p1udm1079,1p_ug_al_1/0_brenau_2,0.0818057,kilometer,0.0818057,"LINESTRING(-97.7142668443506 30.4180703684145, -97.7141046666874 30.4185289399618)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1077-p1udt308lv),S1S2,p1udt308lv,p1udm1077,1p_ug_al_4/0_sweetbriar_2,0.0166177,kilometer,0.0166177,"LINESTRING(-97.7144648411901 30.4180453082229, -97.7142668443506 30.4180703684145)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udt309lv-p1ulv24992),S1S2,p1udt309lv,p1ulv24992,1p_ug_al_1/0_brenau_2,0.0154333,kilometer,0.0154333,"LINESTRING(-97.7151692927242 30.4180540829287, -97.7150357365739 30.4181862136592)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1081-p1ulv312),S1S2,p1udm1081,p1ulv312,1p_ug_al_1/0_brenau_2,0.0189471,kilometer,0.0189471,"LINESTRING(-97.7152137639484 30.418106759513, -97.7152679395743 30.4179448800779)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1081-p1ulv28192),S1S2,p1udm1081,p1ulv28192,1p_ug_al_1/0_brenau_2,0.0150168,kilometer,0.0150168,"LINESTRING(-97.7152137639484 30.418106759513, -97.7151807620136 30.4182417785403)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1081-p1udt309lv),S1S2,p1udt309lv,p1udm1081,1p_ug_al_4/0_sweetbriar_2,0.00962539,kilometer,0.00962539,"LINESTRING(-97.7151692927242 30.4180540829287, -97.7152137639484 30.418106759513)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udm1084-p1ulv34544),S1S2,p1udm1084,p1ulv34544,1p_ug_al_1/0_brenau_2,0.0176909,kilometer,0.0176909,"LINESTRING(-97.7150376280884 30.4180418655457, -97.7151125049257 30.4178892128515)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1084-p1udt309lv),S1S2,p1udt309lv,p1udm1084,1p_ug_al_1/0_brenau_2,0.00961616,kilometer,0.00961616,"LINESTRING(-97.7151692927242 30.4180540829287, -97.7150376280884 30.4180418655457)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udt310lv-p1ulv7933),S1S2,p1udt310lv,p1ulv7933,1p_ug_al_1/0_brenau_2,0.0158743,kilometer,0.0158743,"LINESTRING(-97.714484552949 30.4186324436386, -97.7143822971313 30.4187933389348)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udt310lv-p1ulv30050),S1S2,p1udt310lv,p1ulv30050,1p_ug_al_1/0_brenau_2,0.015448,kilometer,0.015448,"LINESTRING(-97.714484552949 30.4186324436386, -97.7145520452512 30.4185513916518)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1085-p1ulv313),S1S2,p1udm1085,p1ulv313,1p_ug_al_1/0_brenau_2,0.0161217,kilometer,0.0161217,"LINESTRING(-97.7143843079357 30.4186399691178, -97.7144692410966 30.4185144846228)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1085-p1ulv13519),S1S2,p1udm1085,p1ulv13519,1p_ug_al_1/0_brenau_2,0.0191632,kilometer,0.0191632,"LINESTRING(-97.7143843079357 30.4186399691178, -97.7143197207547 30.4188017455995)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1085-p1udt310lv),S1S2,p1udt310lv,p1udm1085,1p_ug_al_4/0_sweetbriar_2,0.00995177,kilometer,0.00995177,"LINESTRING(-97.714484552949 30.4186324436386, -97.7143843079357 30.4186399691178)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
l(r:p1udt311lv-p1ulv31945),S1S2,p1udt311lv,p1ulv31945,1p_ug_al_1/0_brenau_2,0.0158632,kilometer,0.0158632,"LINESTRING(-97.7143357862114 30.4194779732954, -97.7143301306606 30.419595864906)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1089-p1ulv314),S1S2,p1udm1089,p1ulv314,1p_ug_al_1/0_brenau_2,0.0157681,kilometer,0.0157681,"LINESTRING(-97.7144771684533 30.4194980608052, -97.7145102901133 30.4193540202676)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1089-p1udt311lv),S1S2,p1udt311lv,p1udm1089,1p_ug_al_1/0_brenau_2,0.009848,kilometer,0.009848,"LINESTRING(-97.7143357862114 30.4194779732954, -97.7144771684533 30.4194980608052)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1090-p1ulv2863),S1S2,p1udm1090,p1ulv2863,1p_ug_al_1/0_brenau_2,0.0171123,kilometer,0.0171123,"LINESTRING(-97.7142803294519 30.4194239390039, -97.7143342708357 30.4192801035592)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm1090-p1udt311lv),S1S2,p1udt311lv,p1udm1090,1p_ug_al_1/0_brenau_2,0.00984409,kilometer,0.00984409,"LINESTRING(-97.7143357862114 30.4194779732954, -97.7142803294519 30.4194239390039)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm3238-p1ulv905),S1S2,p1udm3238,p1ulv905,1p_ug_al_1/0_brenau_2,0.0184938,kilometer,0.0184938,"LINESTRING(-97.7140938521017 30.4304661442506, -97.7141513630697 30.4303251805247)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm3239-p1ulv38249),S1S2,p1udm3239,p1ulv38249,1p_ug_al_1/0_brenau_2,0.0177703,kilometer,0.0177703,"LINESTRING(-97.7137103057102 30.4303360442704, -97.7137081745119 30.4304984355071)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm3238-p1udm3239),S1S2,p1udm3238,p1udm3239,1p_ug_al_1/0_brenau_2,0.0399747,kilometer,0.0399747,"LINESTRING(-97.7140938521017 30.4304661442506, -97.7137103057102 30.4303360442704)",0.9149,0.9149,,0.4972667,0.4972667,,205,OVERHEAD,1
l(r:p1udm3238-p1udt889lv),S1S2,p1udt889lv,p1udm3238,1p_ug_al_4/0_sweetbriar_2,0.0091955,kilometer,0.0091955,"LINESTRING(-97.7141836983404 30.4304585167923, -97.7140938521017 30.4304661442506)",0.5462333,0.5462333,,0.2976,0.2976,,301,OVERHEAD,1
